nohup: ignoring input
Watching for file changes with StatReloader
Not Found: /
[03/Feb/2026 05:22:44] "GET / HTTP/1.1" 404 2789
[03/Feb/2026 05:34:20] "GET /api/users/ HTTP/1.1" 200 154
[03/Feb/2026 05:34:20] "GET /api/registrations/ HTTP/1.1" 200 20
[03/Feb/2026 05:34:20] "GET /api/events/ HTTP/1.1" 200 13
[03/Feb/2026 05:34:20] "GET /api/users/ HTTP/1.1" 200 154
[03/Feb/2026 05:34:26] "GET /api/events/ HTTP/1.1" 200 13
[03/Feb/2026 05:34:26] "GET /api/events/ HTTP/1.1" 200 13
[03/Feb/2026 05:34:29] "GET /api/events/ HTTP/1.1" 200 13
[03/Feb/2026 05:34:29] "GET /api/registrations/ HTTP/1.1" 200 20
[03/Feb/2026 05:34:29] "GET /api/events/ HTTP/1.1" 200 13
[03/Feb/2026 05:34:29] "GET /api/registrations/ HTTP/1.1" 200 20
[03/Feb/2026 05:34:30] "GET /api/events/ HTTP/1.1" 200 13
[03/Feb/2026 05:34:30] "GET /api/events/ HTTP/1.1" 200 13
[03/Feb/2026 05:34:43] "OPTIONS /api/events/ HTTP/1.1" 200 0
Bad Request: /api/events/
[03/Feb/2026 05:34:43] "POST /api/events/ HTTP/1.1" 400 45
[03/Feb/2026 05:34:46] "POST /api/events/ HTTP/1.1" 201 85
[03/Feb/2026 05:34:48] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:35:03] "POST /api/users/login/ HTTP/1.1" 200 108
[03/Feb/2026 05:35:03] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:35:03] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:35:10] "GET /api/registrations/ HTTP/1.1" 200 20
[03/Feb/2026 05:35:10] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:35:10] "GET /api/registrations/ HTTP/1.1" 200 20
[03/Feb/2026 05:35:10] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:35:12] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:35:12] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:35:14] "GET /api/registrations/ HTTP/1.1" 200 20
[03/Feb/2026 05:35:14] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:35:14] "GET /api/registrations/ HTTP/1.1" 200 20
[03/Feb/2026 05:35:14] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:35:16] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:35:16] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:35:18] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:35:18] "GET /api/registrations/ HTTP/1.1" 200 20
[03/Feb/2026 05:35:18] "GET /api/registrations/ HTTP/1.1" 200 20
[03/Feb/2026 05:35:18] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:35:20] "GET /api/tickets/ HTTP/1.1" 200 14
[03/Feb/2026 05:35:20] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:35:20] "GET /api/tickets/ HTTP/1.1" 200 14
[03/Feb/2026 05:35:20] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:35:21] "GET /api/registrations/ HTTP/1.1" 200 20
[03/Feb/2026 05:35:21] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:35:21] "GET /api/registrations/ HTTP/1.1" 200 20
[03/Feb/2026 05:35:21] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:35:22] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:35:22] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:35:24] "GET /api/registrations/ HTTP/1.1" 200 20
[03/Feb/2026 05:35:24] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:35:24] "GET /api/registrations/ HTTP/1.1" 200 20
[03/Feb/2026 05:35:24] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:35:25] "GET /api/tickets/ HTTP/1.1" 200 14
[03/Feb/2026 05:35:25] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:35:25] "GET /api/tickets/ HTTP/1.1" 200 14
[03/Feb/2026 05:35:25] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:35:26] "GET /api/registrations/ HTTP/1.1" 200 20
[03/Feb/2026 05:35:26] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:35:26] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:35:26] "GET /api/registrations/ HTTP/1.1" 200 20
[03/Feb/2026 05:36:44] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:36:44] "GET /api/tickets/ HTTP/1.1" 200 14
[03/Feb/2026 05:36:44] "GET /api/tickets/ HTTP/1.1" 200 14
[03/Feb/2026 05:36:44] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:36:44] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:36:44] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:37:06] "POST /api/users/login/ HTTP/1.1" 200 109
[03/Feb/2026 05:37:06] "GET /api/users/ HTTP/1.1" 200 154
[03/Feb/2026 05:37:06] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:37:06] "GET /api/tickets/ HTTP/1.1" 200 14
[03/Feb/2026 05:37:06] "GET /api/registrations/ HTTP/1.1" 200 20
[03/Feb/2026 05:37:06] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:37:06] "GET /api/users/ HTTP/1.1" 200 154
[03/Feb/2026 05:37:06] "GET /api/registrations/ HTTP/1.1" 200 20
[03/Feb/2026 05:37:07] "GET /api/tickets/ HTTP/1.1" 200 14
[03/Feb/2026 05:37:13] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:37:13] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:37:15] "GET /api/users/ HTTP/1.1" 200 154
[03/Feb/2026 05:37:15] "GET /api/tickets/ HTTP/1.1" 200 14
[03/Feb/2026 05:37:15] "GET /api/registrations/ HTTP/1.1" 200 20
[03/Feb/2026 05:37:15] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:37:15] "GET /api/tickets/ HTTP/1.1" 200 14
[03/Feb/2026 05:37:15] "GET /api/users/ HTTP/1.1" 200 154
[03/Feb/2026 05:37:15] "GET /api/registrations/ HTTP/1.1" 200 20
[03/Feb/2026 05:37:15] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:37:16] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:37:16] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:37:17] "GET /api/registrations/ HTTP/1.1" 200 20
[03/Feb/2026 05:37:17] "GET /api/events/ HTTP/1.1" 200 98
